   rho.    cs2.      P.       f.      mu/T.   chiinv(0,0)
 0.000   0.1932   0.0058   0.0000    0.0000    0.0000
 0.020   0.1516   0.0080   0.0000    0.0000    0.0000
 0.040   0.1335   0.0103   0.0000    0.0000    0.0000
 0.060   0.1243   0.0126   0.0000    0.0000    0.0000
 0.080   0.1188   0.0149   0.0000    0.0000    0.0000
 0.100   0.1151   0.0172   0.0000    0.0000    0.0000
 0.120   0.1116   0.0195  -0.0000   -0.0002   -0.1124
 0.140   0.1035   0.0217  -0.0000   -0.0086   -0.7277
 0.160   0.0940   0.0237  -0.0000   -0.0291   -1.3156
 0.180   0.0838   0.0254  -0.0001   -0.0607   -1.8212
 0.200   0.0742   0.0268  -0.0003   -0.1010   -2.1727
 0.220   0.0669   0.0280  -0.0006   -0.1461   -2.3060
 0.240   0.0636   0.0292  -0.0010   -0.1915   -2.1926
 0.260   0.0651   0.0303  -0.0014   -0.2323   -1.8522
 0.280   0.0714   0.0316  -0.0020   -0.2645   -1.3444
 0.300   0.0817   0.0332  -0.0026   -0.2855   -0.7463
 0.320   0.0946   0.0352  -0.0032   -0.2942   -0.1292
 0.340   0.1089   0.0376  -0.0039   -0.2909    0.4540
 0.360   0.1234   0.0404  -0.0045   -0.2765    0.9710
 0.380   0.1375   0.0436  -0.0051   -0.2526    1.4067
 0.400   0.1505   0.0473  -0.0056   -0.2208    1.7579
 0.420   0.1621   0.0512  -0.0060   -0.1828    2.0281
 0.440   0.1721   0.0555  -0.0064   -0.1402    2.2244
 0.460   0.1806   0.0600  -0.0067   -0.0943    2.3557
 0.480   0.1874   0.0648  -0.0068   -0.0463    2.4311
 0.500   0.1928   0.0697  -0.0069    0.0026    2.4597
 0.520   0.1968   0.0747  -0.0068    0.0518    2.4498
 0.540   0.1995   0.0798  -0.0066    0.1004    2.4091
 0.560   0.2012   0.0849  -0.0064    0.1480    2.3443
 0.580   0.2018   0.0900  -0.0060    0.1941    2.2615
 0.600   0.2016   0.0952  -0.0055    0.2384    2.1658
 0.620   0.2008   0.1002  -0.0049    0.2807    2.0615
 0.640   0.1994   0.1053  -0.0043    0.3208    1.9521
 0.660   0.1976   0.1102  -0.0035    0.3587    1.8407
 0.680   0.1954   0.1151  -0.0027    0.3944    1.7294
 0.700   0.1930   0.1199  -0.0018    0.4279    1.6201
 0.720   0.1905   0.1246  -0.0008    0.4592    1.5140
 0.740   0.1878   0.1292   0.0002    0.4885    1.4120
 0.760   0.1851   0.1337   0.0013    0.5158    1.3149
 0.780   0.1824   0.1381   0.0025    0.5411    1.2229
 0.800   0.1797   0.1424   0.0037    0.5647    1.1364
 0.820   0.1770   0.1466   0.0050    0.5866    1.0552
 0.840   0.1744   0.1506   0.0063    0.6070    0.9795
 0.860   0.1719   0.1547   0.0076    0.6258    0.9090
 0.880   0.1695   0.1586   0.0090    0.6434    0.8435
 0.900   0.1672   0.1624   0.0105    0.6596    0.7828
 0.920   0.1650   0.1662   0.0119    0.6747    0.7266
 0.940   0.1628   0.1698   0.0134    0.6887    0.6746
 0.960   0.1608   0.1734   0.0150    0.7017    0.6267
 0.980   0.1589   0.1770   0.0165    0.7138    0.5824
